"","players","PlayerID","SportsDataID","Status","TeamID","Team","Jersey","PositionCategory","Position","FirstName","LastName","Height","Weight","BirthDate","BirthCity","BirthState","BirthCountry","HighSchool","College","Salary","headshot","Experience","SportRadarPlayerID","RotoworldPlayerID","RotoWirePlayerID","FantasyAlarmPlayerID","StatsPlayerID","SportsDirectPlayerID","XmlTeamPlayerID","InjuryStatus","InjuryBodyPart","InjuryStartDate","InjuryNotes","FanDuelPlayerID","DraftKingsPlayerID","YahooPlayerID","FanDuelName","DraftKingsName","YahooName","DepthChartPosition","DepthChartOrder","GlobalTeamID","FantasyDraftName","FantasyDraftPlayerID","UsaTodayPlayerID","UsaTodayHeadshotUrl","UsaTodayHeadshotNoBackgroundUrl","UsaTodayHeadshotUpdated","UsaTodayHeadshotNoBackgroundUpdated","NbaDotComPlayerID"
"11","Anthony Davis",20000468,NA,"Active",27,"LAL","3","F","PF","Anthony","Davis",82,253,"1993-03-11T00:00:00","Chicago","IL","USA","NULL","Kentucky","35361360","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000468.png","9","ea8826b8-1f76-4eab-b61e-ffcb176880f3","1967",3297,"200349","603096","750979","3407","Scrambled","Scrambled","2021-12-16T00:00:00","Scrambled",15755,"603096","5007","Anthony Davis","Anthony Davis","Anthony Davis","C","0",20000027,"Anthony Davis","603096","8256699","http://cdn.usatsimg.com/api/download/?imageID=16937595","http://cdn.usatsimg.com/api/download/?imageID=16941441","2021-10-11T22:30:50","2021-10-12T18:35:31","203076"
"12","Eric Gordon",20000471,NA,"Active",22,"HOU","10","G","SG","Eric","Gordon",75,215,"1988-12-25T00:00:00","Indianapolis","IN","USA","NULL","Indiana","18218818","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000471.png","12","f8d6c74c-e0bd-41ed-a814-f0b25259fe0a","1496",2926,"200458","401085","736286","771","Scrambled","Scrambled","2022-01-10T00:00:00","Scrambled",9556,"401085","4469","Eric Gordon","Eric Gordon","Eric Gordon","SF","0",20000022,"Eric Gordon","401085","8247135","http://cdn.usatsimg.com/api/download/?imageID=16907135","http://cdn.usatsimg.com/api/download/?imageID=16936875","2021-10-07T14:29:49","2021-10-11T20:34:03","201569"
"13","Jrue Holiday",20000474,NA,"Active",15,"MIL","21","G","PG","Jrue","Holiday",75,205,"1990-06-12T00:00:00","Mission Hills","CA","USA","NULL","UCLA","32413333","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000474.png","11","65700e81-3aa0-49a9-8a94-004f2cfb64e5","1623",3029,"200505","457576","741327","2049","Scrambled","Scrambled","2022-01-06T00:00:00","Scrambled",9663,"457576","4622","Jrue Holiday","Jrue Holiday","Jrue Holiday","PG","0",20000015,"Jrue Holiday","457576","8247785","http://cdn.usatsimg.com/api/download/?imageID=16932202","http://cdn.usatsimg.com/api/download/?imageID=16936884","2021-10-10T21:24:41","2021-10-11T20:39:09","201950"
"14","Draymond Green",20000482,NA,"Active",26,"GS","23","F","PF","Draymond","Green",78,235,"1990-03-04T00:00:00","Saginaw","MI","USA","NULL","Michigan State","24026712","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000482.png","9","5e5099d1-4a58-43f2-8d03-f2ae5dd49337","1981",3299,"200176","468895","740632","3203","Scrambled","Scrambled","2022-01-10T00:00:00","Scrambled",15860,"468895","5069","Draymond Green","Draymond Green","Draymond Green","PF","0",20000026,"Draymond Green","468895","8247460","http://cdn.usatsimg.com/api/download/?imageID=17138335","http://cdn.usatsimg.com/api/download/?imageID=17138334","2021-11-11T12:00:58","2021-11-11T12:00:50","203110"
"15","Harrison Barnes",20000483,NA,"Active",30,"SAC","40","F","SF","Harrison","Barnes",80,225,"1992-05-30T00:00:00","Ames","IA","USA","NULL","North Carolina","20284091","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000483.png","9","ce8d0944-b277-499e-9701-02a5f1828615","1827",3305,"200215","552336","748083","3226","Scrambled","Scrambled","NULL","Scrambled",15946,"552336","5013","Harrison Barnes","Harrison Barnes","Harrison Barnes","SF","0",20000030,"Harrison Barnes","552336","8256677","http://cdn.usatsimg.com/api/download/?imageID=16936525","http://cdn.usatsimg.com/api/download/?imageID=16941523","2021-10-11T19:45:10","2021-10-12T18:51:39","203084"
"16","Stephen Curry",20000485,NA,"Active",26,"GS","30","G","PG","Stephen","Curry",74,193,"1988-03-14T00:00:00","Akron","OH","USA","NULL","Davidson","45780966","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000485.png","12","8ec91366-faea-4196-bbfd-b8fab7434795","1611",3014,"200523","338365","733822","1942","Scrambled","Scrambled","NULL","Scrambled",9524,"338365","4612","Stephen Curry","Stephen Curry","Stephen Curry","PG","0",20000026,"Stephen Curry","338365","8247458","http://cdn.usatsimg.com/api/download/?imageID=17304213","http://cdn.usatsimg.com/api/download/?imageID=17327063","2021-12-06T09:43:07","2021-12-09T14:52:20","201939"
"17","Klay Thompson",20000486,NA,"Active",26,"GS","11","G","SG","Klay","Thompson",78,215,"1990-02-08T00:00:00","Los Angeles","CA","USA","NULL","Washington State","37980720","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000486.png","10","4e152a06-673e-4701-b115-aa7e2cd00d2d","1837",3197,"200397","457611","740166","3106","Scrambled","Scrambled","NULL","Scrambled",14509,"457611","4892","Klay Thompson","Klay Thompson","Klay Thompson","SG","0",20000026,"Klay Thompson","457611","8247475","http://cdn.usatsimg.com/api/download/?imageID=16906481","http://cdn.usatsimg.com/api/download/?imageID=16906482","2021-10-07T13:39:52","2021-10-07T13:39:57","202691"
"18","Andre Iguodala",20000487,NA,"Active",26,"GS","9","F","SF","Andre","Iguodala",78,215,"1984-01-28T00:00:00","Springfield","IL","USA","NULL","Arizona","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000487.png","17","9fdcd102-1c82-4e32-b366-c93139352c75","1049",2527,"200202","173004","671779","1012","Scrambled","Scrambled","NULL","Scrambled",9664,"173004","3826","Andre Iguodala","Andre Iguodala","Andre Iguodala","SF","1",20000026,"Andre Iguodala","173004","8277107","http://cdn.usatsimg.com/api/download/?imageID=17209397","http://cdn.usatsimg.com/api/download/?imageID=17260843","2021-11-21T20:11:49","2021-11-30T11:28:18","2738"
"19","Justin Holiday",20000492,NA,"Active",13,"IND","8","G","SG","Justin","Holiday",78,180,"1989-04-05T00:00:00","Mission Hills","CA","USA","NULL","Washington","6006420","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000492.png","8","05dea31d-f1ff-491b-9f17-8be88b26f413","2079",3242,"200359","395365","737092","3019","Scrambled","Scrambled","NULL","Scrambled",16604,"395365","5142","Justin Holiday","Justin Holiday","Justin Holiday","SG","1",20000013,"Justin Holiday","395365","8247728","http://cdn.usatsimg.com/api/download/?imageID=16909170","http://cdn.usatsimg.com/api/download/?imageID=16929473","2021-10-07T19:29:38","2021-10-10T14:27:20","203200"
"20","Giannis Antetokounmpo",20000497,NA,"Active",15,"MIL","34","F","PF","Giannis","Antetokounmpo",83,242,"1994-12-06T00:00:00","Athens","NULL","Greece","NULL","None","39344970","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000497.png","6","6c60282d-165a-4cba-8e5a-4f2d9d4c5905","2143",3456,"200410","739957","755620","2444","Scrambled","Scrambled","NULL","Scrambled",40199,"739957","5185","Giannis Antetokounmpo","Giannis Antetokounmpo","Giannis Antetokounmpo","PF","0",20000015,"Giannis Antetokounmpo","739957","8247766","http://cdn.usatsimg.com/api/download/?imageID=16932140","http://cdn.usatsimg.com/api/download/?imageID=16932141","2021-10-10T21:14:01","2021-10-10T21:14:06","203507"
"21","Ersan Ilyasova",20000498,NA,"Active",11,"CHI","77","F","PF","Ersan","Ilyasova",81,235,"1987-05-15T00:00:00","Eskisehir","NULL","Turkey","NULL","None","NULL","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000498.png","12","a519659f-7cc0-40ee-8c49-1bb0b9ca5b13","1147",2607,"200321","292396","725659","1268","Scrambled","Scrambled","NULL","Scrambled",9598,"292396","3962","Ersan Ilyasova","Ersan Ilyasova","Ersan Ilyasova","NULL","NULL",20000011,"Ersan Ilyasova","292396","8291786","http://cdn.usatsimg.com/api/download/?imageID=17409635","NULL","2021-12-24T20:12:42","NULL","101141"
"22","Khris Middleton",20000500,NA,"Active",15,"MIL","22","F","SF","Khris","Middleton",79,222,"1991-08-12T00:00:00","North Charleston","SC","USA","NULL","Texas A&M","35500000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000500.png","7","4c362eee-6474-40ea-b1b4-d8f917f95175","2017",3356,"200276","512053","744051","3276","Scrambled","Scrambled","NULL","Scrambled",16261,"512053","5073","Khris Middleton","Khris Middleton","Khris Middleton","SF","0",20000015,"Khris Middleton","512053","8247790","http://cdn.usatsimg.com/api/download/?imageID=16932134","http://cdn.usatsimg.com/api/download/?imageID=16932135","2021-10-10T21:13:20","2021-10-10T21:13:26","203114"
"23","Michael Carter-Williams",20000501,NA,"Active",5,"ORL","7","G","PG","Michael","Carter-Williams",77,190,"1991-10-10T00:00:00","Hamilton","MA","USA","NULL","Syracuse","3300000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000501.png","7","1f5e7dfc-225d-4a25-8857-e6f8192b4c44","2119",3441,"200485","609790","750557","3558","Scrambled","Scrambled","2021-08-24T00:00:00","Scrambled",16201,"609790","5162","Michael Carter-Williams","Michael Carter-Williams","Michael Carter-Williams","NULL","NULL",20000005,"Michael Carter-Williams","609790","8247684","http://cdn.usatsimg.com/api/download/?imageID=16932811","http://cdn.usatsimg.com/api/download/?imageID=16932812","2021-10-10T23:08:44","2021-10-10T23:08:50","203487"
"24","Jimmy Butler",20000515,NA,"Active",4,"MIA","22","G","SG","Jimmy","Butler",79,230,"1989-09-14T00:00:00","Houston","TX","USA","NULL","Marquette","36016200","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000515.png","10","0e163d44-67a7-4107-9421-5333600166bb","1870",3231,"200366","458730","740461","3045","Scrambled","Scrambled","2022-01-04T00:00:00","Scrambled",14528,"458730","4912","Jimmy Butler","Jimmy Butler","Jimmy Butler","SF","0",20000004,"Jimmy Butler","458730","8247497","http://cdn.usatsimg.com/api/download/?imageID=16932062","http://cdn.usatsimg.com/api/download/?imageID=16937306","2021-10-10T21:03:04","2021-10-11T21:56:14","202710"
"25","Derrick Rose",20000516,NA,"Active",6,"NY","4","G","PG","Derrick","Rose",74,200,"1988-10-04T00:00:00","Chicago","IL","USA","NULL","Memphis","13445120","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000516.png","12","48341095-ae5a-4d61-bcc8-1b0ceed870b2","1476",2921,"200495","399612","736477","1944","Scrambled","Scrambled","2021-12-17T00:00:00","Scrambled",9475,"399612","4387","Derrick Rose","Derrick Rose","Derrick Rose","PG","1",20000006,"Derrick Rose","399612","8248231","http://cdn.usatsimg.com/api/download/?imageID=16937272","http://cdn.usatsimg.com/api/download/?imageID=16937234","2021-10-11T21:51:47","2021-10-11T21:50:11","201565"
"26","Taj Gibson",20000517,NA,"Active",6,"NY","67","F","PF","Taj","Gibson",81,232,"1985-06-24T00:00:00","Brooklyn","NY","USA","NULL","USC","4910000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000517.png","12","9c8dc8ee-6207-48d5-81ee-f362f5e17f9b","1628",3035,"200315","330057","733302","2081","Scrambled","Scrambled","NULL","Scrambled",9481,"330057","4631","Taj Gibson","Taj Gibson","Taj Gibson","PF","1",20000006,"Taj Gibson","330057","8248185","http://cdn.usatsimg.com/api/download/?imageID=16937195","http://cdn.usatsimg.com/api/download/?imageID=16937197","2021-10-11T21:41:39","2021-10-11T21:42:08","201959"
"27","Tony Snell",20000519,NA,"Active",19,"POR","17","G","SG","Tony","Snell",78,213,"1991-11-10T00:00:00","Los Angeles","CA","USA","NULL","New Mexico","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000519.png","8","26414d70-d298-4999-a391-2eee2dd7067d","2190",3465,"200374","550991","748949","3620","Scrambled","Scrambled","NULL","Scrambled",17517,"550991","5190","Tony Snell","Tony Snell","Tony Snell","NULL","NULL",20000019,"Tony Snell","550991","8276980","http://cdn.usatsimg.com/api/download/?imageID=16936377","http://cdn.usatsimg.com/api/download/?imageID=16941466","2021-10-11T19:19:02","2021-10-12T18:44:28","203503"
"28","Doug McDermott",20000522,NA,"Active",24,"SA","17","F","SF","Doug","McDermott",79,225,"1992-01-03T00:00:00","Grand Forks","ND","USA","NULL","Creighton","13750000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000522.png","7","66156be8-6202-40bd-bdc2-014a46bee28f","2332",3579,"200178","554804","748569","3713","Scrambled","Scrambled","2022-01-01T00:00:00","Scrambled",18256,"554804","5322","Doug McDermott","Doug McDermott","Doug McDermott","SF","0",20000024,"Doug McDermott","554804","8277044","http://cdn.usatsimg.com/api/download/?imageID=16936735","http://cdn.usatsimg.com/api/download/?imageID=16941551","2021-10-11T20:16:16","2021-10-12T18:55:57","203926"
"29","E'Twaun Moore",20000524,NA,"Active",5,"ORL","55","G","SG","E'Twaun","Moore",75,191,"1989-02-25T00:00:00","East Chicago","IN","USA","NULL","Purdue","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000524.png","9","5a854508-5f41-4009-8986-a162224c511d","1884",3227,"200501","398424","737180","3115","Scrambled","Scrambled","2021-10-19T00:00:00","Scrambled",14554,"398424","4937","E'Twaun Moore","E'Twaun Moore","E'Twaun Moore","NULL","NULL",20000005,"E'Twaun Moore","398424","8277144","http://cdn.usatsimg.com/api/download/?imageID=16932790","http://cdn.usatsimg.com/api/download/?imageID=16932780","2021-10-10T23:05:58","2021-10-10T23:04:35","202734"
"30","Rajon Rondo",20000530,NA,"Active",12,"CLE","1","G","PG","Rajon","Rondo",73,180,"1986-02-22T00:00:00","Louisville","KY","USA","NULL","Kentucky","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000530.png","15","977b67b1-4665-4f97-ba3b-7d7778efecdb","1272",2703,"200529","262882","724378","1449","Scrambled","Scrambled","NULL","Scrambled",9455,"262882","4149","Rajon Rondo","Rajon Rondo","Rajon Rondo","PG","1",20000012,"Rajon Rondo","262882","8291971","http://cdn.usatsimg.com/api/download/?imageID=17139344","http://cdn.usatsimg.com/api/download/?imageID=17139343","2021-11-11T13:44:46","2021-11-11T13:44:42","200765"
"31","Al-Farouq Aminu",20000532,NA,"Active",9,"BOS","72","F","PF","Al-Farouq","Aminu",80,220,"1990-09-21T00:00:00","Atlanta","GA","USA","NULL","Wake Forest","NULL","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000532.png","10","56ff7cb8-4828-4aaa-8f95-0bf569a0786d","1719",3110,"200171","457688","740174","2911","Scrambled","Scrambled","NULL","Scrambled",12342,"457688","4723","Al-Farouq Aminu","Al-Farouq Aminu","Al-Farouq Aminu","NULL","NULL",20000009,"Al-Farouq Aminu","457688","8291823","http://cdn.usatsimg.com/api/download/?imageID=16936728","http://cdn.usatsimg.com/api/download/?imageID=16941575","2021-10-11T20:12:32","2021-10-12T18:57:46","202329"
"32","Dwight Powell",20000539,NA,"Active",25,"DAL","7","F","PF","Dwight","Powell",82,240,"1991-07-20T00:00:00","Toronto","ON","Canada","NULL","Stanford","11080125","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000539.png","6","a465418b-0933-40b4-8f01-253d046872e1","2297",3610,"200320","552309","749124","3207","Scrambled","Scrambled","NULL","Scrambled",16196,"552309","5356","Dwight Powell","Dwight Powell","Dwight Powell","C","0",20000025,"Dwight Powell","552309","8256673","http://cdn.usatsimg.com/api/download/?imageID=16905905","http://cdn.usatsimg.com/api/download/?imageID=16916578","2021-10-07T11:16:42","2021-10-08T22:25:26","203939"
"33","Trevor Ariza",20000541,NA,"Active",27,"LAL","1","F","SF","Trevor","Ariza",80,215,"1985-06-30T00:00:00","Miami","FL","USA","NULL","UCLA","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000541.png","17","9392d5b6-3dbf-4375-8fdd-4dafaae6ede4","1083",2461,"200199","229738","671738","1048","Scrambled","Scrambled","NULL","Scrambled",9538,"229738","3860","Trevor Ariza","Trevor Ariza","Trevor Ariza","SF","1",20000027,"Trevor Ariza","229738","8277088","http://cdn.usatsimg.com/api/download/?imageID=16937603","http://cdn.usatsimg.com/api/download/?imageID=16941442","2021-10-11T22:34:23","2021-10-12T18:35:44","2772"
"34","Dwight Howard",20000543,NA,"Active",27,"LAL","39","C","C","Dwight","Howard",82,265,"1985-12-08T00:00:00","Atlanta","GA","USA","NULL","Southwest Atlanta Christian Academy","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000543.png","17","ae8df356-5e57-43e7-be4d-5ec7663312bd","1041",2458,"200100","253975","671764","999","Scrambled","Scrambled","NULL","Scrambled",9660,"253975","3818","Dwight Howard","Dwight Howard","Dwight Howard","C","1",20000027,"Dwight Howard","253975","8277093","http://cdn.usatsimg.com/api/download/?imageID=17139245","http://cdn.usatsimg.com/api/download/?imageID=17139244","2021-11-11T13:33:04","2021-11-11T13:32:58","2730"
"35","James Harden",20000544,NA,"Active",8,"BKN","13","G","SG","James","Harden",77,220,"1989-08-26T00:00:00","Bellflower","CA","USA","NULL","Arizona State","44310840","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000544.png","11","a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc","1597",3018,"200435","395388","737070","2062","Scrambled","Scrambled","2022-01-10T00:00:00","Scrambled",9644,"395388","4563","James Harden","James Harden","James Harden","SG","0",20000008,"James Harden","395388","8248101","http://cdn.usatsimg.com/api/download/?imageID=16903174","http://cdn.usatsimg.com/api/download/?imageID=16916508","2021-10-06T21:21:49","2021-10-08T22:15:59","201935"
"36","Clint Capela",20000549,NA,"Active",3,"ATL","15","C","C","Clint","Capela",82,256,"1994-05-18T00:00:00","Geneva","NULL","Switzerland","NULL","None","18603448","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000549.png","5","c37dafbb-a269-41f6-813f-bdb4da388203","2385",3587,"200335","830647","761257","3766","Scrambled","Scrambled","2022-01-08T00:00:00","Scrambled",55059,"830647","5336","Clint Capela","Clint Capela","Clint Capela","C","0",20000003,"Clint Capela","830647","8255303","http://cdn.usatsimg.com/api/download/?imageID=16897410","http://cdn.usatsimg.com/api/download/?imageID=16916065","2021-10-05T20:13:55","2021-10-08T21:37:07","203991"
"37","Patrick Beverley",20000554,NA,"Active",16,"MIN","22","G","PG","Patrick","Beverley",73,180,"1988-07-12T00:00:00","Chicago","IL","USA","NULL","Arkansas","14320988","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000554.png","10","912e7aa3-dd03-4a98-9980-0442e108f287","1645",3072,"200525","332691","747396","2127","Scrambled","Scrambled","2022-01-07T00:00:00","Scrambled",12474,"332691","4647","Patrick Beverley","Patrick Beverley","Patrick Beverley","PG","1",20000016,"Patrick Beverley","332691","8276992","http://cdn.usatsimg.com/api/download/?imageID=16932392","http://cdn.usatsimg.com/api/download/?imageID=16936883","2021-10-10T21:54:48","2021-10-11T20:38:32","201976"
